id,name,text,trans
6015004020010,甜花,え、えと……,"어, 어어……"
6015004020020,甜花,"この前、ラジオでも……
少しお話した、けど……","저번에, 라디오에서도……
살짝 이야기, 했지만……"
6015004020030,甜花,"甜花、いつも……いっぱい、
色んな人たちに、応援してもらってばっか……","텐카, 항상……잔뜩,
여러 사람들에게, 응원받기만 해……"
6015004020040,甜花,"……だけど
だから、ね……","……그치만
그래서, 있지……"
6015004020050,甜花,"いつも、ありがとって、気持ち……
あるから……","항상, 고마워 하는, 마음……
있으니까……"
6015004020060,甜花,"……今日は、
甜花たちのパフォーマンスで","……오늘은,
텐카네의 퍼포먼스로"
6015004020070,甜花,"頑張るみんなの、
背中を押せたらなって……思います……！","힘내고 있는 여러분의,
등을 밀어주고 싶다고…… 생각합니다……!"
6015004020080,甜花,……──,……──
6015004020090,甜花,頑張れ、頑張れ──！,"힘내, 힘내──!"
info,produce_events/601500402.json,
번역자,,
