id,name,text,trans
6013004030010,夏葉,────はぁ……！,────하아……!
0000000000000,プロデューサー,はは、いい飲みっぷりだな,"하하, 잘 마시는구나"
6013004030020,夏葉,"…………！
プロデューサー！","…………!
프로듀서!"
0000000000000,プロデューサー,"体力、大丈夫そうか？
かなり飛ばしてただろ？","체력, 괜찮은 거야?
꽤나 소모했잖아?"
6013004030030,夏葉,"当たり前じゃない！
まだステージの途中よ？","당연하잖아!
아직 공연 도중이야?"
6013004030040,夏葉,こんなところでバテていられないわ！,이런 곳에서 지쳐있을 수는 없어!
0000000000000,プロデューサー,"……そうだな
最後まで、頼んだぞ！","……그래
마지막까지, 부탁해!"
6013004030050,夏葉,──ええ、任せてちょうだい！,"──응, 맡겨 줘!"
6013004030060,夏葉,まだまだ、これからよ！,"한참 멀었어, 이제부터라고!"
info,produce_events/601300403.json,
번역자,,
