id,name,text,trans
6023004030010,雛菜,"やは～～～
楽しいね、プロデューサー！","야하~~~
즐겁네, 프로듀서!"
0000000000000,プロデューサー,"そうだな
俺も、楽しませてもらってるよ","그래
나도, 즐기고 있어"
6023004030020,雛菜,"でももう終わっちゃうのか～
早いな～……","그치만 벌써 끝나는 거구나~
빠르다~……"
0000000000000,プロデューサー,"ああ、最後の最後まで
しっかり楽しんできてくれ！","그래, 마지막의 마지막까지
제대로 즐겨줘!"
6023004030030,雛菜,"……うん
そうだよね","……응
그렇지"
6023004030040,雛菜,"みんなにも言っちゃったもん
『頑張って楽しんでください』って","사람들한테도 말했는걸
『열심히 즐겨주세요』라고"
6023004030050,雛菜,"だからプロデューサーも、頑張ってね
──最後まで","그러니까 프로듀서도, 열심히 즐겨
──마지막까지"
0000000000000,プロデューサー,"……おう！
任せとけ！","……응!
맡겨둬!"
info,produce_events/602300403.json,
번역자,,
