id,name,text,trans
4901019400010,透,"え、本命？
これって","에? 진심?
이거"
0000000000000,プロデューサー,"え？　あぁ……
本命とかあるのか？　ホワイトデーって","어? 아……
진심 같은 게 있어? 화이트 데이에"
4901019400020,透,"え？
ないの","에?
없어?"
0000000000000,プロデューサー,"うーん……いや
俺が知らないだけかもしれないけど","으음ー……아니
내가 모르는 것뿐일지도 모르지만"
4901019400030,透,"じゃ
あったら、本命？","그럼
있다면, 진심?"
0000000000000,プロデューサー,はは、透ー,"하하, 토오루ー"
0000000000000,プロデューサー,"……いや、うん
本命だよ","……아니, 응
진심이야"
0000000000000,プロデューサー,"透をしっかり
プロデュースしていきたい","토오루를 착실히
프로듀스 해나가고 싶어"
4901019400040,透,へー,헤ー
4901019400050,透,まぁ、いいや,"뭐, 좋아"
info,special_communications/490101940.json,
번역자,,
