id,name,text,trans
0000000000000,プロデューサー,『Die or Love』…………！？,'Die or Love'…………!?
4901028440010,甜花,うん……,응……
4901028440020,甜花,"お手本の真似してたら……
チョコに……『Love』って書いちゃって……","견본품을 따라하다가……
초코에…… 'Love'라고 써버려서……"
4901028440030,甜花,"違うなって思って……
『Die or Love』に、した……！","아닌 것 같아서……
'Die or Love'로, 했어……!"
4901028440040,甜花,"かっこいいかなって、思って……！
……かっこいいよね……？","멋지지 않을까, 싶어서……!
……멋지지……?"
0000000000000,プロデューサー,"……お、おう
確かに、かっこいいかもな……！","……으, 응
듣고 보니, 멋진 것 같네……!"
4901028440050,甜花,"にへへ……
だよね……！","니헤헤……
그치……!"
4901028440060,甜花,"──プロデューサーさん……
このかっこいい、チョコのこと……","──프로듀서님……
이 멋진, 초코……"
4901028440070,甜花,思いっきり……かじっていいよ……！,마음껏…… 베어먹어도 돼……!
info,special_communications/490102844.json,
번역자,,
